zenid_cta	Tạo Zeni ID ngay →
zenid_desc	Như Google Account — bạn có 1 tài khoản Google có thể vào Gmail, YouTube, Google Meet. Zeni ID là 1 tài khoản cho toàn hệ sinh thái Zeni Holdings.
zenid_feat1	Đăng ký 1 lần — dùng được toàn bộ 5 platform
zenid_feat2	KYC 1 lần — chính chủ, không thể có 2 tài khoản
zenid_feat3	Phí riêng theo platform — trả phí Pro trên platform nào thì dùng platform đó
zenid_feat4	$Zeni token và XP chảy xuyên suốt toàn bộ hệ sinh thái
zenid_footer	🔒 1 Zeni ID · KYC 1 lần · Bảo mật AES-256
zenid_plat_anima_tag	Wellness · Miễn phí
zenid_plat_biotea_tag	Marketplace · Free
zenid_plat_digital_tag	SaaS · Theo gói
zenid_plat_nexbuild_tag	Construction · Pro
zenid_plat_wellkoc_tag	Commerce · Pro 19$/th
zenid_title	1 tài khoản. Toàn bộ hệ sinh thái.
